Id,SalePrice
1,157062.738652735
2,169819.374309309
3,204584.800439736
4,144806.536038544
5,171092.299031746
6,196572.491408801
7,210918.482660812
8,152073.408716598
9,163782.255770272
10,161260.924710104
11,150023.325281863
12,193504.004955114
13,185891.501524788
14,222685.554102024
15,196427.200279472
16,212713.830972224
17,118528.732051436
18,152756.311292583
19,173905.799095417
20,163021.604015032
21,174223.59083652
22,209323.829346259
23,139441.843619641
24,190332.471468224
25,236452.706183335
26,125067.725375729
27,246332.747110283
28,192023.289505241
29,117471.583305361
30,174014.001501081
31,206998.248381906
32,181705.070788597
33,150372.741259972
34,130629.208540677
35,231677.463734988
36,151416.16000121
37,180289.066012319
38,125233.697220766
39,216901.172424823
40,276291.178683711
41,223070.571253789
42,137676.237663157
43,243670.322219972
44,188888.643509073
45,170894.050370807
46,179507.914491377
47,166782.536556169
48,283758.867822385
49,187146.115682537
50,183420.416917038
51,160343.883355361
52,173851.619399335
53,218136.794447075
54,165949.303589085
55,212875.611571748
56,186784.37572289
57,144938.004480869
58,140245.244099919
59,214245.650270498
60,193966.408697975
61,181991.550483379
62,200868.404825098
63,141253.594507394
64,190014.575615081
65,230466.094133366
66,157506.243725503
67,199625.13345975
68,192059.222192225
69,196069.779582796
70,235948.900494805
71,166273.12770651
72,113451.100179751
73,143591.71426298
74,239387.29017251
75,206197.830755464
76,181916.970067155
77,212451.829857121
78,202795.17694692
79,166446.854663365
80,184345.305426564
81,180179.602367057
82,160886.572978771
83,155974.678548234
84,140369.566001539
85,184127.257454918
86,211921.320425136
87,202670.556188431
88,151526.223276635
89,136012.37244522
90,181558.208609284
91,182546.401741732
92,204684.717007896
93,192792.171312769
94,188709.632536824
95,201849.862579702
96,157308.184831458
97,200456.975153103
98,127076.893326498
99,182138.383246054
100,224430.036000774
101,176217.339217402
102,141713.990408843
103,123423.394330574
104,158559.761755975
105,195534.992872999
106,189127.350989797
107,202572.63955781
108,176629.203115691
109,151455.953877705
110,196541.368549625
111,124029.549475476
112,116967.891916903
113,183604.682089309
114,125451.410465035
115,244961.522880311
116,163429.306020085
117,176725.526635047
118,225635.42137981
119,110007.328097246
120,202991.87924457
121,163126.892602164
122,195730.179222473
123,257783.07265151
124,170024.554597131
125,141528.952255298
126,162830.743311238
127,188702.874431071
128,196065.311323675
129,200198.525680685
130,158335.071151774
131,180843.727611025
132,162958.867664307
133,167731.154903137
134,178176.452926254
135,160059.405854294
136,158613.543254925
137,172623.307948775
138,143116.622493157
139,147273.124588777
140,169744.348271285
141,184209.214997807
142,193025.430771066
143,211929.960715239
144,126496.079160123
145,184237.152693831
146,188514.209459867
147,175849.813979502
148,153668.135708853
